latitude, longitude, location
53.5411,-113.50751,"10838 Jasper Ave NW, Edmonton, AB T5J 2B3"
53.59281,-113.53996,"12620D 132 Ave NW, Edmonton, AB T5L 3P9"
53.7140095,-113.1896518,"8900 114 St, Edmonton, AB T5H 3J6"
53.4748203,-113.3933247,"19-3919 34 St NW, Edmonton, AB T6T 1L5"
53.49893,-113.4863,"B114-6238 99 St NW, Edmonton, AB T6E 6C7"
53.48858,-113.46492,"9030 51 Ave NW, Edmonton, AB T6E 5X4"
53.46951,-113.58788,"12-752 Riverbend Sq NW, Edmonton, AB T6R 2E3"
53.54188,-113.61909,"17270 Stony Plain Rd NW, Edmonton, AB T5S 1K6"
53.55503,-113.61636,"10862 170th Street NW, Edmonton, AB T5S 2H7"
53.50502,-113.6189,"6921 172 St NW, Edmonton, AB T5T 5Y1"
53.54406,-113.49419,"10250 101 St NW, Edmonton, AB T5J 3P4"
53.47219,-113.48536,"3817 99 St NW, Edmonton, AB T6E 6J1"
53.6185143,-113.4911251,"101-15823 97 St NW, Edmonton, AB T5X 0C7"
53.53388,-113.62729,"202-17731 98A Ave NW, Edmonton, AB T5T 4W8"
53.5109985,-113.6772374,"2574 Guardian Rd NW, Edmonton, AB T5T 1K8"
53.59878,-113.40388,"13728 40th St NW, Edmonton, AB T5Y 3E5"
53.4265161,-113.4801843,"824 Parsons Rd, Edmonton, AB T6X 0B4"
53.54139,-113.49187,"102-10115 100A St, Edmonton, AB T5J 1R2"
53.58221,-113.57962,"15004 Yellowhead Trail NW, Edmonton, AB T5V 1A1"
53.5708399,-113.49845,"11822 103 St NW, Edmonton, AB T5G 2J3"
53.56952,-113.60992,"11748 167 St NW, Edmonton, AB T5M 3Z2"
53.6158801,-113.5414949,"15252 127 St NW, Edmonton, AB T6V 0C5"
53.4779467,-113.3691382,"3930 17 St NW, Edmonton, AB T6T 0C2"
53.53246,-113.61612,"9516 170 St NW, Edmonton, AB T5T 5R6"
53.54124,-113.5254,"11804 Jasper Ave NW, Edmonton, AB T5K 0N7"
53.54105,-113.49277,"C13-10060 Jasper Ave NW, Edmonton, AB T5J 3R8"
53.4538351,-113.5680228,"14257 23 Ave NW, Edmonton, AB T6R 3A8"
53.5409099,-113.6034,"66-10066 163 St NW, Edmonton, AB T5P 3N4"
53.52553,-113.61845,"17044 90th Avenue NW, Edmonton, AB T5T 6L6"
53.5436,-113.4983,"108-10310 102nd Avenue NW, Edmonton, AB T5J 2X6"
53.47303,-113.45084,"7627 38 Ave NW, Edmonton, AB T6K 3Y7"
53.4383176,-113.6190487,"1121 Windermere Way SW, Edmonton, AB T6W 2P3"
53.54624,-113.49037,"Edmonton, AB T5J 2G8"
53.4543557,-113.4342639,"322-2331 66 St NW, Edmonton, AB T6K 4B5"
53.4989954,-113.4184349,"6112 50th Street NW, Edmonton, AB T6B 2N7"
53.5243899,-113.66687,"814 Webber Greens Dr NW, Edmonton, AB T5T 4K5"
53.5463549,-113.5049675,"10700 104 Ave NW, Edmonton, AB T5J 4S2"
53.49231,-113.49167,"5433 Gateway Blvd NW, Edmonton, AB T6H 2H3"
53.5241566,-113.5206275,"9013 112 St NW, Edmonton, AB T6G 2C5"
